ID,set1,set2,set3,set4,set5,set6,set7,set8,set9,set10,set11,set12,set13,set14,set15
1,4,5,0,6,5,7,0,3,4,4,4,2,0,4,5
2,4,1,0,6,4,6,0,2,0,6,4,4,0,2,5
3,4,5,0,2,4,7,2,0,0,4,0,4,4,4,7
4,0,5,1,6,4,3,3,1,3,5,4,0,0,0,5
5,4,5,0,6,4,7,0,0,6,4,4,1,0,2,5
6,4,5,0,6,4,7,3,0,0,0,4,5,0,1,1
7,4,5,4,6,0,5,4,2,0,4,4,4,2,1,5
8,4,4,0,2,4,5,2,0,5,4,4,2,0,0,5
9,0,1,0,6,4,5,0,0,0,4,5,0,1,0,5
10,0,5,0,6,4,2,0,0,0,5,4,4,0,5,4
11,4,7,1,6,4,6,0,0,1,5,4,0,0,0,4
12,4,5,0,5,1,4,0,1,0,4,4,0,0,0,5
13,7,6,1,6,6,7,1,0,0,6,5,0,2,0,5
14,0,1,0,6,4,7,0,0,2,4,4,0,2,0,4
15,5,6,0,6,4,1,6,0,4,4,4,0,4,6,4
16,0,5,0,2,4,5,0,5,2,0,4,0,0,0,5
17,4,7,5,4,2,3,0,0,4,6,5,0,7,0,7
18,4,5,0,2,4,6,4,0,6,4,6,0,0,1,4
19,4,7,4,4,5,5,1,2,4,4,0,6,4,0,7
20,5,5,1,6,4,7,0,0,0,4,4,4,2,1,4
21,4,5,0,2,0,7,2,0,0,4,4,0,0,2,5
22,4,4,0,6,4,7,0,0,4,4,4,4,2,4,5
23,7,2,2,6,4,6,4,0,0,4,0,0,0,1,1
24,4,5,0,6,4,5,0,0,0,4,4,0,0,0,5
25,6,7,4,6,0,7,0,0,0,4,6,0,4,4,5
26,4,4,0,6,4,3,2,0,0,0,0,0,0,0,4
27,4,5,0,4,5,7,0,0,1,4,0,5,4,1,7
28,6,5,4,6,4,7,1,0,0,4,6,2,0,0,5
29,4,5,0,6,5,7,1,0,0,4,6,0,0,0,5
30,4,5,0,0,5,7,0,0,2,4,7,0,0,0,1
31,5,5,0,6,0,7,0,0,0,4,0,3,1,0,5
32,4,0,1,6,0,7,0,0,5,4,4,0,4,0,7
33,4,5,0,6,4,7,0,0,0,4,6,6,0,4,4
34,6,5,0,0,4,7,0,0,0,0,4,0,1,0,5
35,0,4,2,6,4,5,0,0,4,4,4,0,0,4,5
36,0,4,0,5,4,7,4,6,6,0,4,0,2,0,7
37,4,5,0,6,4,6,2,0,4,4,4,0,0,0,7
38,4,5,5,6,4,7,1,0,4,4,4,0,0,0,1
39,4,1,1,7,4,7,0,4,0,4,4,1,0,5,5
40,6,5,0,6,4,7,0,4,0,5,4,1,2,0,5
41,4,5,0,2,6,7,0,1,6,4,4,3,0,2,5
42,4,5,0,7,0,7,2,0,2,5,0,4,4,6,5
43,4,5,0,6,4,5,2,0,3,4,0,0,0,0,4
44,5,5,0,6,6,7,0,2,0,4,4,0,6,0,3
45,4,5,0,6,4,7,0,0,0,4,4,0,0,0,4
46,4,5,0,4,4,3,0,2,2,6,4,0,1,1,1
47,4,7,0,6,4,3,0,0,2,2,5,0,0,0,7
48,4,5,0,2,4,7,0,1,4,5,6,4,4,0,5
49,4,6,0,4,4,7,0,0,4,6,4,0,0,0,5
50,4,5,0,7,4,7,0,0,0,7,4,0,0,0,5
51,4,4,0,6,0,3,1,0,0,4,4,0,1,2,5
52,6,5,0,6,4,7,0,3,0,4,1,1,4,4,5
53,6,5,0,2,4,7,0,0,1,4,4,4,0,2,5
54,6,5,2,6,6,7,0,1,1,4,4,0,0,0,4
55,6,1,0,4,0,7,4,0,0,5,0,0,0,1,7
56,0,1,4,6,7,7,0,0,0,6,4,1,0,2,7
57,4,1,0,6,2,7,0,0,0,6,6,0,4,0,7
58,0,1,0,7,4,7,0,0,0,4,0,5,0,2,1
59,4,5,0,7,4,3,0,1,0,4,4,4,0,0,5
60,7,5,0e,6,2,7,3,6,4,4,4,1,0,2,5
61,4,4,0,6,4,3,0,2,0,0,4,1,0,0,5
62,5,7,0,6,4,7,0,0,0,0,4,0,0,0,1
63,6,5,1,6,6,4,0,2,2,4,5,0,0,0,5
64,6,3,0,4,6,7,0,2,0,4,5,0,0,0,1
65,6,7,0,4,4,6,0,6,2,4,4,0,0,4,5
66,4,5,0,6,6,6,6,0,2,4,4,4,2,2,4
67,0,5,0,4,4,5,2,0,0,6,4,4,0,0,4
68,4,5,0,6,4,7,0,0,0,4,4,2,0,0,4
69,4,5,0,7,4,3,0,0,0,4,6,0,4,2,5
70,4,1,2,6,0,7,4,0,1,0,5,0,0,0,7
71,4,5,0,6,4,5,0,0,0,0,6,0,4,0,5
72,4,4,0,6,7,7,0,0,4,6,4,0,5,0,5
73,4,1,0,4,4,7,0,4,0,4,4,0,1,0,6
74,4,5,4,6,4,4,0,0,2,4,4,0,0,0,5
75,6,7,2,4,5,7,4,0,5,4,1,2,0,0,5
76,4,1,5,6,4,7,0,2,0,4,4,0,0,4,0
77,4,5,0,6,4,6,0,0,2,5,4,7,2,4,7
78,4,7,4,6,4,5,0,0,0,4,4,0,0,0,5
79,5,6,0,6,4,3,0,2,0,4,4,0,0,0,5
80,4,7,3,6,4,6,2,0,0,4,4,0,4,0,5
81,4,0,4,3,5,7,2,2,0,4,5,0,0,1,5
82,4,5,2,6,4,6,2,5,0,4,4,0,0,1,5
83,4,7,0,6,4,3,6,1,0,6,4,4,7,0,5
84,4,5,0,6,5,3,1,0,1,0,4,0,4,5,4
85,4,5,0,6,4,7,0,0,0,4,4,0,0,0,5
86,4,5,0,2,4,3,0,0,0,4,0,4,0,0,4
87,4,5,0,6,4,7,0,0,0,5,5,0,0,0,5
88,4,5,0,6,4,7,0,0,1,4,6,4,0,0,5
89,4,5,2,6,4,7,1,1,0,4,1,0,1,0,1
90,4,5,0,7,0,7,0,0,1,4,4,0,0,2,5
91,4,5,0,6,0,7,0,4,0,4,4,3,0,0,4
92,4,1,0,6,4,7,0,0,1,4,0,4,0,1,5
93,4,4,0,6,4,3,2,0,1,0,4,0,1,1,4
94,4,5,0,6,4,7,0,0,2,4,6,0,1,0,5
95,4,1,4,6,4,7,0,0,0,4,4,0,0,0,5
96,4,5,0,6,0,1,0,2,0,5,4,0,4,0,5
97,4,7,0,6,4,7,0,0,0,4,7,0,0,0,4
98,4,5,1,6,4,7,0,0,0,4,6,2,0,0,1
99,0,6,1,5,4,6,4,0,0,4,4,0,0,0,1
100,4,5,0,4,4,3,0,0,0,4,0,4,4,1,5
101,4,5,0,6,4,7,0,0,4,0,0,0,0,1,1
102,4,0,0,4,5,7,0,0,0,4,6,0,0,0,4
103,0,5,0,6,4,3,4,0,0,4,4,4,4,0,7
104,4,5,0,6,0,5,0,4,0,4,4,3,5,5,5
105,4,5,0,7,6,7,2,0,4,5,5,5,0,0,5
106,4,1,5,6,6,7,2,2,1,4,6,4,0,0,1
107,4,5,1,4,4,3,0,0,2,4,0,0,0,0,4
108,4,5,0,2,4,7,2,0,2,4,7,0,4,0,5
109,4,5,4,6,4,7,0,1,3,4,4,0,1,0,5
110,0,7,0,6,4,7,2,0,3,4,0,0,0,0,5
111,6,5,2,6,4,7,5,4,0,4,4,0,0,0,4
112,4,5,0,6,4,5,0,2,1,6,6,5,0,0,5
113,2,5,1,2,0,7,6,5,0,4,4,4,0,0,5
114,6,4,4,6,4,7,1,0,0,6,4,0,0,0,5
115,6,5,1,6,5,3,0,0,0,4,0,2,0,0,5
116,0,5,0,6,4,7,0,3,0,2,4,0,0,0,5
117,6,5,0,6,4,2,0,2,0,4,4,2,0,0,6
118,4,5,0,6,4,7,0,2,2,4,4,2,2,0,5
119,5,4,0,6,4,7,0,0,2,4,4,0,0,0,5
120,4,5,0,6,4,7,5,6,0,4,5,1,0,0,5
121,0,5,0,6,0,7,0,0,0,4,4,0,0,0,5
122,4,5,0,3,4,7,4,0,1,4,4,2,0,0,5
123,6,5,0,4,4,6,0,0,2,4,4,0,1,0,5
124,4,5,4,6,4,7,4,0,0,4,4,2,0,4,4
125,4,4,4,6,6,7,0,6,1,0,4,0,0,2,5
126,4,5,0,6,6,7,0,0,0,6,5,0,0,0,5
127,4,5,0,6,0,5,0,0,0,0,4,0,0,0,0
128,4,5,0,6,4,7,0,7,0,4,0,0,4,0,7
129,4,7,0,6,0,7,0,0,0,0,4,1,0,0,5
130,4,5,0,6,4,7,0,0,0,0,4,0,1,0,4
131,6,7,1,6,0,5,0,0,0,4,6,0,0,4,1
132,4,5,0,6,4,7,0,0,0,6,4,0,4,2,5
133,0,5,0,6,4,4,0,0,0,4,6,0,4,4,5
134,4,5,0,6,4,5,5,0,0,4,4,0,4,0,5
135,5,5,1,4,5,7,0,0,0,4,4,0,0,2,5
136,4,5,0,3,4,7,0,0,4,1,4,0,0,4,5
137,4,7,0,4,4,7,0,4,2,2,4,0,0,0,7
138,4,5,5,3,4,7,0,0,1,4,4,0,0,1,5
139,4,1,0,0,4,5,4,1,1,1,6,0,2,0,5
140,4,0,0,6,6,7,0,0,0,4,0,0,3,0,4
141,4,5,0,6,5,7,0,0,1,5,4,4,1,0,5
142,0,4,4,6,4,5,0,0,0,4,1,0,3,2,5
143,1,5,0,6,4,7,0,0,0,4,4,1,0,0,5
144,0,1,0,6,4,7,0,0,0,4,0,0,0,1,4
145,4,5,0,6,4,7,4,3,0,6,6,4,0,0,7
146,4,1,2,2,4,1,0,3,0,0,0,0,0,0,5
147,7,1,0,2,4,5,0,0,0,4,4,0,1,7,5
148,4,1,0,6,5,2,0,0,0,4,4,0,5,4,1
149,4,5,2,6,4,3,0,6,2,5,4,0,0,6,5
150,0,5,2,6,4,5,0,6,0,5,0,4,1,4,1
151,2,5,2,7,6,7,0,0,0,4,4,0,0,0,5
152,4,5,0,2,4,7,2,0,6,4,0,0,0,5,5
153,5,5,0,6,4,7,0,0,4,5,4,0,0,0,5
154,4,5,1,2,4,6,0,5,0,4,4,0,0,0,5
155,5,5,0,6,4,0,0,0,4,0,6,2,0,5,5
156,4,5,2,6,4,6,0,0,0,4,4,0,1,0,4
157,4,5,0,4,0,7,0,4,4,0,4,0,1,0,5
158,4,4,1,6,6,3,0,0,0,4,4,0,2,0,5
159,2,5,0,6,6,7,0,0,0,5,5,1,4,0,5
160,0,5,0,7,4,7,0,0,0,4,5,0,0,1,5
161,4,5,1,2,4,5,4,3,0,4,4,0,0,0,4
162,5,0,0,4,2,2,0,0,0,4,4,0,2,4,5
163,4,5,0,6,4,7,2,0,0,0,4,0,0,0,1
164,4,7,0,6,4,7,0,1,0,4,0,1,0,0,5
165,4,5,4,1,4,5,0,4,2,4,4,1,0,0,5
166,5,7,0,6,1,6,0,0,0,6,4,4,2,0,5
167,4,3,0,6,2,5,0,0,0,4,4,0,0,0,5
